Post,Comments
 #Callcenter #callcenterjob #Lahorejobs #getjobsinlahore #getjobs #jobs #telemarketing #jobincallcenter #homebasedjobs,{'Sarmad Iftikhar': {}}
,"{'Farooq Khan': {}, 'Nadeem Iqbal': {}}"
Hi plz tell me books for bba of FAST isb,"{'Zain Sheikh': {'text': ""Login to slate and you'll find your syllabus of each course accordingly""}, 'Eashal Ali': {'text': 'Anyone has any softcopy for bba stuff then plz send me'}}"
"Those who've confirmed their admission in FAST isl for BSCS, dm me ill add you to a whatsapp group where we'll be interacting with eachother and will resolve eachothers queries.","{'Ahmad Nawaz': {}, 'Syed Ali Nadeem': {}}"
,"{'Talat Naeem': {}, 'Muhammad Iftikhar': {'text': 'CS'}}"
,"{'Eashal Ali': {'text': 'Nope will open next year 2021'}, 'Talha Abbasi': {}}"
Join here BSCS students BSSE 👇👇👇👇👇👇  Follow this link to join my WhatsApp group (CS Innovators ❤️🖤👨‍🎓) https://chat.whatsapp.com/GVzE9BqoE010xAUfaaUSg8,{'Shaykh Saad': {}}
Nust se cs/se or fast se AI kro feeling confused Need serious suggestion 🙂,"{'Ali Khan': {'text': 'Please ap ye bata sakty hain k nust ki merit list kab lagy gi'}, 'Muhammad Altaf': {'text': 'depends upon your interest. AI is good field but you can do cs and then go for MS AI abroad or from nust. Nust is also a good university. fast ma ragrha ha bht ziada aur ab pahla wali bat bhe nai rahi faculty ka hisab sa. baki your choice kiun ka in the end banda he main hota ha jis na kam karna ha.'}}"
,"{'Muhammad Najam Sheraz': {'text': ""I am very very excited. I think it's gonna b a very smooth ride with Fast.Aik bhai bta rhy thy best thing about it is its management they try their best to always keep students hAppy.Just waiting for the day""}, 'Muhammad Wasay Shahid': {'text': 'Sb Excitmnt Nikal Degi FastSbr Rkho Freshies'}}"
,"{'Tahir Zaman': {}, 'Moiez Hassan': {'text': 'Join here BSCS students BSSE👇👇👇👇👇👇Follow this link to join my WhatsApp group (CS Innovators ❤️🖤👨\u200d🎓)…See More'}}"
,{'Moiez Hassan': {'text': 'Join here BSCS students BSSE👇👇👇👇👇👇Follow this link to join my WhatsApp group (CS Innovators ❤️🖤👨\u200d🎓)…See More'}}
"Aoa Girls who are enrolled in BSCS ISL campus dm me to join WhatsApp group. (Freshies only) Edit: there seems to be an issue with my messenger option, here is link to message on: https://m.me/sarah.noor.790","{'Aizaz Hussain': {}, 'Moiez Hassan': {'text': 'Join here BSCS students BSSE👇👇👇👇👇👇Follow this link to join my WhatsApp group (CS Innovators ❤️🖤👨\u200d🎓)…See More'}}"
,"{'Moiez Hassan': {'text': 'Join here BSCS students BSSE👇👇👇👇👇👇Follow this link to join my WhatsApp group (CS Innovators ❤️🖤👨\u200d🎓)…See More'}, 'Sawaira Fatima': {}}"
BS (SE) 2020 Tell your sections. Mine R!,"{'Moiez Hassan': {'text': 'Join here BSCS students BSSE👇👇👇👇👇👇Follow this link to join my WhatsApp group (CS Innovators ❤️🖤👨\u200d🎓)…See More'}, 'Abeer Ilyas': {}}"
" 1.  I have got admission in FAST  BSCS . I want to learn a programming language, which one should I learn (Please give reason). 2. Does FAST provide any fee concession to the students who secure top 5 or 10 position in a semester?","{'Rehana Kousar Kousar': {'text': 'Admission by luck milta he  fast mein ... learning programing  on line kr lein ya in semester vocations'}, 'Imran Mumtaz': {}}"
Can i request for section change? are they lenient about it?,"{'Nawaz Khan': {'text': 'Seida uzair bhai k paass jaow academic ma'}, 'Suleman Rehman': {}}"
,"{'Abbasi Sahb': {}, 'Muhammad Shamaas': {}}"
Aj Fast K Cafe Mai Itna Rush Dekh Kar Corona Preshan Hogya K Mjse To Koi Darta Nahe 😂,"{'NoOr MaLik': {'text': 'engineering ki Class start ho gaii kaya?'}, 'Hassaan Rajput': {}}"
,{}
,"{'Mohsin Zia': {}, 'Ahsan Rashid': {}}"
,"{'Zulqarnain Khan': {}, 'Irfan Irfi': {}}"
Assalam o Alaikum ... koi mujy in uni k about info dein please ... yahan BSCS k liye maths prhna zarori hota ... and fee bhi btain BSCS ki??,"{'Hamza Sial': {'text': '17×8500 ye fee ha pr semester ki'}, 'Sheraz Malik': {'text': 'Bscs fees 1st fees 1.5 lahk +'}}"
Aoa everyone please tell me bba ke students 8 baje jaein ge?bcz timing aur section ki koi mail issue nhi hoi,"{'Muhammad Wasay Shahid': {}, 'Umain Ul Hassan': {}}"
,{}
,"{'Zaryab Hanif': {'text': ""I want to migrate from Islamabad to lahore and I'm looking for a swapper . If there is one kindly contact with me""}}"
,"{'Ch Atif Gujjar': {}, 'Armish Munir': {}}"
,{'Hammad Aslam': {}}
"For attending orientation, we have to report to the university at 8:00 AM or 12:00 PM?","{'Mahad Khan': {'text': 'Classes will commence from 16th so u only have to attend the orientation session on 15th.. The arrival time will be according to the session of your section😊'}, 'Malik M. Tariq': {}}"
,"{'Rehana Kousar Kousar': {}, 'Fatima Khan': {}}"
,"{'Soha Saqib': {'text': 'The classes for 1st semester Batch 2020 classes will be on campus.'}, 'Jahazaib Manzoor': {'text': 'In-campus from 15th Sept, 2020'}}"
,"{'Atiq Abdullah': {'text': 'If you are good student then FASTIf u are average student then Comsats'}, 'TalHa MuGhal': {}}"
"Salaam! New comers of BS(AI) of Fast ISB, dm me , I'll add you in whatsapp group.","{'Muhammad Hassnain': {'text': 'Jahazaib Manzoor Raqeeb Hamza Imran Haider.....'}, 'Saad Bin Younis': {'text': 'Good selection for future'}}"
,"{'Farhan Qureshi': {}, 'Malik Shakeel Harya': {}}"
,"{'Fatima Jamal': {'text': ""Fast ka CS best hai.And if you check their syllabus, cs aur se ka mostly same hai. Hence in ka SE bi acha he hoga.As for Bahria, it's a no no for computer programs.""}, 'Farooq Khan': {'text': 'Fast best hy per fast main SE non engineering  hy,  UET mardan main engineering  program  hy'}}"
BS computer science Islamabad campus ki orientation kab ha..??  Anyone know about it..,"{'Huzaifa Sheikx': {}, 'Saboor Ahmad': {'text': ""if you received the email, there's a table in it. refer to it for orientation timings. iirc it's either 11:15 or 12:10 (depending on your allotted section) on September 15.""}}"
,"{'محسن چوہدری': {'text': 'NCA acha hai en sab se agr interst hai us ki kisi field mein'}, 'Hamza Sabir': {'text': 'EE kahain se b kr lo faida koi no. EE wele he ghoomty dkhty Hain hmesha JB b dkhy😏'}}"
BS Computer science Islamabad campus ki orientation kab ha..??,{'Muhammad Umar Waseem': {}}
Awaiting result ka kiya seen hay result tw 17 sep ko ana??,"{'Ahsin Raza': {'text': 'You can submit your result before your first mids'}, 'Muhammad Wasay Shahid': {}}"
Anyone of bs engineering programs receive section mail??,"{'Syed Hussain Ali': {}, 'Soha Saqib': {'text': 'Sections information will also be given on orientation. Other details like schedule, email id, LMS ( SLATE) login and flex logins will also be given.'}}"
As the result of intermediate will be announced On 17 September by Government then why 16th is the date of result submission. Anyone knows what it is??,"{'Ahmad Ibrahim Siddiqui': {'text': 'Fast ki covid guidelines k mutabiq'}, 'Syed Ali Hasnain': {}}"
I got admission in BS (EE) in fast islamabad . Can anyone tell me about the elect engineering of fast .beacuse i have not any other option.,"{'Hamza Ali Imran': {'text': 'One of the best ee departments MashAllah but unfortunately ee is not good when it comes to scope'}, 'Fahad Shams': {}}"
Orientation kab ho gi fast ki ? Ksi ko koi mail ai ? (BsAI),"{'Muhammad Wasay Shahid': {}, 'M Aqeel Afzal': {}}"
When will we receive email regarding course selection?,"{'Asif Mujeeb': {'text': 'Everybody has the same courses in first sem and they are pre registered by uni so there is no need for selection'}, 'Sarah Noor': {}}"
,"{'Quratulain Bakhsh': {'text': 'Yes i ntrested m new in freelancing field and i wanna join any seniour or experenced team to start my lancing career .'}, 'Umar Muzaffer Guraya': {}}"
Any WhatsApp/messenger group for SE students?,"{'M ÀHsãñ MéHmøød': {}, 'Maria Khan': {}}"
,{'Umain Ul Hassan': {}}
Does anyone know the bus route of Fast Isb?,"{'MaliCk Adeen Hassan': {'text': 'I got their card from NU campus , contact them for route details'}, 'Anna Anjum': {}}"
I got admission in FAST ISL (SE) but in today’s list my name also has appeared in ITU (CS) department... Its a tough choice between these...Am really confused..Can u guide me ?,"{'Suleman Rehman': {}, 'Hamza Ali Imran': {'text': 'CS is better than se . And itu has potential to compete with fast'}}"
"I didn't find a single official page of fast nuces on any social media ! Even the official website is not so updated ,no information is shared till now regarding opening of campuses ... In short they need to made a official account for students portal","{'TalHa MuGhal': {'text': 'Check the email address you provided during admission...!!'}, 'Syed Muhammad Husain': {'text': 'Refer to NUCES Islamabad Campus. This is the official fb page for Islamabad campus'}}"
any fast fsd bscs students!!,"{'Rayyan Zafar': {}, 'Hashir Naeem': {}}"
Must have knowledge for Email marketing and lead generation tactics and tools,{}
Anyone received the email from Fast of submission of marks of Math.????,"{'Tahir Chaudhary': {}, 'Rayyan Zafar': {'text': 'From which campus?'}}"
Is there any hostel near fast Peshawar walking distance pe hi prr jaye sahi hai kindly tell me,{}
" We are looking for a front-end developer to join our product team. You’ll be an exceptional problem solver and take responsible actions in ensuring the application is optimized both in technology and in delivering the best user experience. RESPONSIBILITIES: • Work closely with design, product management, and development teams to create elegant, usable, responsive, and interactive interfaces across multiple devices. • Turning UI/UX designs into prototypes, creating excellent interactions from designs, writing reusable content modules, and maintainability of the code. • Implement UI development principles to ensure that the product client-side serves at scale. • Review and optimize app usage by monitoring key metrics and rectifying the issues proactively. • An ability to perform well in a fast-paced environment and bring in optimal flow for rapidly changing design/ technology. • Bachelors in computer science (BS-CS) REQUIREMENTS: • 3 years of relevant work experience as a web developer, UI developer, JavaScript expert, or front-end engineer • Sound knowledge in HTML and CSS • Familiar with UI layouts, SASS, Bootstrap, and the CSS GRID system • Proficient with JavaScript frameworks such as JQuery, Angular • Experience debugging using JavaScript-based tools like Chrome Developer Console • Passionate to create good design and usability • A team player with excellent communication skills • Good understanding of asynchronous request handling, partial page updates, and AJAX • Basic knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image. • Good understanding of SEO principles and ensuring that the application will adhere to them. • Experience in GIT ADDITIONAL SKILLSET: • Familiarity with tools such as Gimp or Photoshop is a plus. • Need a candidate who is enthusiastic about work and passionate about coding • Self-starter who takes initiative and is proactive • Excellent communication, analytical, and problem-solving skills.",{'Moazam Ali': {}}
Anyoen doing MS in CNS from islamabad?   Or any person who is graduated with this degree?,{'Muhammad Shah': {}}
"i belong to a middle class family and i went to elite class schools on scholarships and i was bullied for that, i am selected in FAST and just wanted to know if this class difference matters in Fast or other elite universites in general","{'Muneeb Ghumman': {}, 'Sara Abbasi': {}}"
,{'Syed Mohsin Naqvi': {'text': 'Karachi campus men CS secure kerly'}}
"Those who've confirmed their admission in FAST isl for BS-CS, leave your name here and dm me i'll add you to a whatsapp group where we'll be interacting with eachother and will resolve each others queries.","{'Awais Mohammad': {}, 'Abdul Wahab': {}}"
Anyone here who  will start MS ( mgt sciences)  in coming semester,"{'Mudasser Talal': {}, 'SmArt Joyia': {}}"
"Merafuture is looking for a Data Scientist/ AI Specialist for its Islamabad Office. Required Education: 16 Years of education in Computer Sciences or related disciplines Required Skills: Web deployable Python API programming skills Knowledge of web programming especially PHP... Required Experience: 1-2 Years  Location: Islamabad/Rawalpindi  The main responsibility of the AI specialist is to help company build innovative AI solutions for its products. He / She will be programming computers to test hypotheses in relation to how the human mind works, through cognitive simulation. The person will be required to analyse the gathered data in depth and develop efficient classification models so as to have a maximum predictability. ",{}
Fast ki apni transport hai??Fast has its own transport??,"{'Uzair Ahmad': {}, 'Jahazaib Manzoor': {}}"
"When are classes starting for undergraduate freshmen? is 15th Sep official? Also, will there be any orientation??","{'Sarah Noor': {'text': 'I think 15 sep is orientation'}, 'Ahsan Ali Qureshi': {}}"
Any board topper in this group who got Fast merit scholarship?,"{'Sara Afzal': {'text': ""Yes.You get a scholarship only if you're overall 1st 2nd or 3rd in your discipline.""}, 'M Aqeel Afzal': {'text': 'Yes but mari overall 5th thi mujy 50% scholarship mli ha.'}}"
SE or CS from FAST (isb). VS SE or CS from NUST,"{'Hashir Naeem': {'text': 'Fast best h'}, 'Hassan Khan': {}}"
,"{'Muneeba Aftab': {}, 'Muhammad Aizaz Burki': {}}"
Is it worth changing from SE to CS in Isb?,"{'Haseeb Jadoon': {'text': 'Yes, CS is better'}, 'Fatima Jamal': {}}"
,"{'Fahad Shams': {'text': ""no.interest free loan is available on need basis up to max 75% fee. it's very good. I availed that""}, 'A Shak OOR': {'text': 'Apply for sindh endowment scholarship (fully funded by government for 4 years) and you can also apply for merit base scholarship.'}}"
Any one got admission in BBA this year?,{'Saboor Ahmad': {}}
,"{'Syed Muhammad Danish Abdi': {}, 'Hassaan Asif': {}}"
,"{'Bilal Chaudhry': {'text': 'Location: F11/2 Service:Ac, quality mess, internet , laundary , iron and security guard.'}, 'Muhammad Annas': {}}"
,{'Zurraiz Ahmed': {}}
Kisi ka MS AI me adm hua h??,"{'Zahra Khan': {}, 'Rida Tahir': {}}"
"This week the new batch entered FAST-NU which will graduate in 2024. When I look back at my time at FAST, there were quite a few things I wish I had known on my first day at FAST. I created the following presentation for helping CS freshmen survive and thrive especially at FAST. Non-fastian CS freshmen will benefit too, but there might be some adjustments required. Kindly share among CS freshmen if you have any among your friends and family: ",{}
,"{'Imran Khan': {'text': 'Han dobara test de k'}, 'Syed Muhammad Ali': {}}"
Nutech Ya Bahria University 🤔 FoR #BSCS  Bahria mea Admission ho gya hea 31 August last date hea Nutech mea be Admission hnea kea chances Kafhi Bright han Ap mea so Jo in mea sea kse University mea phartea han Computer science department mea Plzz wo zaror Comment kar dn Sukria ❤️,"{'Affaq Khan': {'text': ""COMSAT's ma apply Karo31 last date ha COMSAT's Islamabad aur Lahore ka admission to close ho Gaye Han…See More""}, 'Suleman Rehman': {}}"
Fast Peshawar kesi hai for BSCS kindly help me,"{'Usama Bin Mairaj': {}, 'Imran Khan': {}}"
,"{'Ali Qumail': {'text': 'Lums'}, 'Jz Rana': {'text': 'Lums'}}"
" Apply online for (Stenotypist, DEO, UDC, LDC) click here: http://202.83.164.97/jobApplicationForm.php Download application form for (Driver, Naib qasid, Farash) click here:  http://mopa.gov.pk/SiteIm…/…/files/Proforma%2031-08-2020.pdf",{}
plz need seriouse suggestion  fast or comsate which one is best for SE???,"{'Ahmed Ali': {}, 'Hina Ghafoor': {'text': 'Fast'}}"
Anybody knows Fast Isl MBA classes timings??,{'Muhammad Wasay Shahid': {}}
Salaam fast m kis kis ko scholarship ya grant mila h,{'Zain Hassan Chaudry': {}}
Anyone knows the timing for BS SE classes in NUCES ISB?,"{'Zain Mughal': {}, 'Ahsan Ali Qureshi': {}}"
For CS which University is best Bahria or Air,"{'Ammar Ahmed': {'text': 'Fast for bachelors Nust for masters'}, 'M Usman Ashraf': {'text': 'Fast is good'}}"
Islamabad ka Kon Kon jiska Peshawar fast mein admission hoa,"{'Syed Muhammad Ali': {}, 'Anwer Javed': {'text': 'Yar jo eligible tay ab seats khali hai ya nai peshawar campus mey'}}"
Nearest boys hostel for Fast islamabad. Koi batado bhai hyd se aana he kidr rullu ga me gareeb.,"{'Sheikh Hanan': {'text': 'sector G-11/2 ibn e sina road royal boyz hostel mostly awam fast islb campus ki hi rehti h enviorment bhi fit h local transport bhi mil jati h'}, 'Zain Murtaza': {'text': 'https://www.facebook.com/NU-Hostel-112046117242446/'}}"
is waqt kasi universty ma BBA ya MBA kay admissions open hayn.,"{'A Shak OOR': {'text': 'Dha suffa an UIT'}, 'Hazi Rajpoot': {}}"
,"{'Zain Murtaza': {'text': 'https://www.facebook.com/NU-Hostel-112046117242446/ for FASTIANS'}, 'Rehana Kousar Kousar': {'text': 'Might b my brother will start boys hostelAs I m running fast girls student hostel since 2006If u ll not find a GD place then u can contact with me on the number 03239850119'}}"
I’m eligible in Fast Fsd & Pshwr campus. Which one is better for BSCS? Need suggestions. And also tell me abt remaining seats in Fsd or Peshwr campus.,"{'Mehmood Ul Haq': {'text': 'Fast ke karachi, faisalabad, aur peshawar campuses main konsa campus sabse acha hai academic ke lehaz se...?'}, 'Suleman Rehman': {}}"
"DISRUPT HUNGER Application Deadline: 14 September 2020 This year’s campaign challenges us to find bold solutions to fight hunger in the following priority areas: 1. COVID-19 emergency response 2. Local food security and market access for smallholder farmers... 3. Sustaining and creating livelihoods 4. Affordable, nutritious diets and awareness 5. Appropriate energy solutions along the food value chain",{}
,"{'Faizan Javed': {}, 'Insha Khan': {}}"
,{}
Is software engineering in fast isb approved by pec?,"{'Hazi Rajpoot': {}, 'Syed Muhammad Danish Abdi': {'text': 'CS has different department called NCEAC... SE is sub-field of CS. SE is recognized by nceac. Though NUST, Bahria, and UET taxila SE is accredited by PEC because they started SE program before the establishment of NCEAC.🌚'}}"
Campus transfer Karne k liye sirf  5000 dena hotay Hain yaa phr us k Saath test BHI dena hota hai please koi bataday Bhai meherbani hogi uski  (Is Saal campus transfer allow Nahi hai mujhe pata hai main next year ki waja se pooch Raha hn),"{'Saqib Sharif': {'text': 'Previously, a candidate was supposed to give test and pass according to the merit of campus he/she wants to get transferred to. Ab ager policy change hgae ho to kuch Kaha nahee ja skta'}, 'Hazi Rajpoot': {}}"
Fast ki fee refund 100% for new students 7sept tak hogi (1week from start of previous batches classes)  Ya phir 22 sept tak? (1 week from start of new batch classes),"{'Hazi Rajpoot': {}, 'Muhammad Wasay Shahid': {}}"
Electrical or chemical engineering from pieas.. Or computer science from fast.. Which one is better..?? 🔥🔥,"{'Mubashir Ali': {'text': ""All are different. Just go with your interest and abilities and Allah will open more paths for you. 1st, Electrical sector is bit slow from past couple of years. 2nd, chemical is interesting and you'll find jobs easily because competition is low.…See More""}, 'Jahazaib Manzoor': {'text': 'EE or Chemical Engineering from PIEAS'}}"
,{}
Which is better regarding scope job oppurunities and salary ? ,"{'Abdullah Basharat': {'text': 'CIVIL due to CPEC'}, 'Ahmed Ali': {'text': 'hosnestly scope bndy me hota ha agar wo qabil ha field me nae'}}"
,"{'Muhammad Haseeb Niazi': {'text': 'ager bhai ragra khana chahty ho tou fast.. sirf pass ho ker degree leni hy tou kahin b or chaly jao.If you want to learn tou FAST ka BBA acha because yaha per practical work bhi krwaty hean.'}, 'Affaq Khan': {'text': ""Yar agar BBA hi Karna ha to Lums ya IBA jaoFast aur COMSAT's to IT Ki universities han""}}"
" Timing: Morning/Evening/Night Salary: Basic Salary+Commision+ Bonus Salary can be increase depend on candidate previous experience. Qualification: Matric, Inter, Bachelor & Master Students , Fresh candidates and experienced Candidates can apply. Regards: Miss Fari Mughal 03229714227 SMS/WhatsApp",{}
,{}
Anyone MS CS or MS SE?,"{'Muhammad Atif Sajjad': {'text': 'cs 💯'}, 'Mutahher Mahmood': {'text': 'CS'}}"
Anyone got admission in MS(CS) ???,"{'Ayesha Fraz': {'text': 'Anyone in  MS AI ?'}, 'Hassan Raza': {}}"
Whats the closing merit for CS and SE in Fast ISB,"{'Muhammad Rukhsar Barki': {'text': '84.45 any chance in SE'}, 'Mahad Khan': {'text': '88 for CS and 85.something for SE'}}"
Anyone selected in MS AI?,"{'Shahbaz Ali': {'text': 'No brother ap akele hi hain AI main 😛'}, 'Shabir Ahmad': {}}"
Everyone who is in accounting and finance department  (freshies) dm me your numbers i will add you in the WhatsApp group.,"{'Ali Hasan': {}, 'Muhammad Haseeb Niazi': {}}"
hostel vs flats which is better for fast faisalabad campus!! any suggestion,{}
Is there anyone from BSDS??,"{'Shazeb Shezi': {}, 'Ibrahim Umair': {}}"
Is it best to do  bs artificial intelligence from fast ? Is any  student available  who is currently doing bs artificial intelligence from fast? Scope of AI?,"{'Hashir Naeem': {'text': 'campus?'}, 'Ayesha Fraz': {'text': 'Ms AI me kisi na adm lia h?'}}"
"Assalam o Alikum, does anyone has selected for MS AI? Or anyone has applied for MS AI as first priority?","{'Haider Kamal': {'text': ""I applied for MSCS and got that 2019 selected scene... don't know if its legit or not""}, 'Ayesha Fraz': {'text': 'Yes I am selected I also wanted to know number to students in MS IA.. DO you know?'}}"
Any latest news about third merit list plzz koi cnfirm bata da third list ka bara ma??,"{'Zabi Ahmed': {'text': 'Nope  too difficult for any cs degree'}, 'Syed Muhammad Danish Abdi': {}}"
,{}
🙏 Please ignoremat karna Mujhe Roll# mil chuka ha but Mene kisi waja se abhi tk  Father ki payslip aur bank statement nhi jama karwai.  Kia men jab classes start hongi tb jama karwa sakta hn?,"{'Ehsan Satti': {}, 'Hassan Khan': {}}"
Any senior from BSSE isb?,"{'Muneeb Ghumman': {}, 'Nadeem Iqbal': {}}"
Who got and who intends to get admission in MSSE?,{'Noor Ul Ain': {'text': 'Any info about classes?'}}
CS from Fast Islamabad or DS from Fast Lahore?? I mean is Fast Lahore better enough that i change my discipline for it?..plus I've heard fast Islamabad ki campus life Lahore sei kaafi behter hai...is that true?,"{'Khan Imran Khan': {'text': 'Islamabad campus seems to be the best one...Head office is also located in G-9 Islamabad'}, 'Syed Muhammad Danish Abdi': {'text': 'Islamabad campus mein itna raghra nhi hn....or faculty kafi behtr hn'}}"
A girl needs financial help in paying university fee those who want to help kindly inbox me,"{'Ehsan Satti': {'text': 'Apply for financial aid'}, 'Zain Ul Abideen': {}}"
Anyone who got selected in MS Management Sciences...?? Or MS ki class timings kiya hain fast main...,"{'Mutahher Mahmood': {'text': '15 ko semester start hona us se pehle e-mail kr k bta den ge'}, 'Tanzeela Aqif': {'text': 'M taking admission in MS mgt sciences nd thy said  we will hv morning classes. 8 to 11 or 9 to 12'}}"
"Those who've confirmed their admission in FAST isl for BSAI, dm me ill add you to a whatsapp group where we'll be interacting with eachother and will resolve eachothers queries.",{'Muhammad Shamaas': {}}
,"{'Faizan Aslam': {'text': 'Or bhaiyo ap log me se jisne bhi hostel rena ha inbox me ay ikhaty aik batch k aik hi hostel me jain ge mere pas information ha aik achy hostel ki..'}, 'Waleed Zafar': {}}"
Anyone who got admision in bs ee at isl campus,"{'Syed Hussain Ali': {}, 'Faizan Shahid': {}}"
Any chances of third merit list ??,"{'Syed Muhammad Danish Abdi': {}, 'Mahad Khan': {'text': 'Maybe not cuz seats full hochuki hain'}}"
Bhai fast uni ab 15 ko open ho g for new batch,{'Farooq Khan': {'text': 'Agr govt ne 7sep ko university  open karne k elan kar diya tab open hoge.'}}
What about transportation system of FAST Islamabad campus?,{'Rehana Kousar Kousar': {'text': 'Uni has  transport facility on its points'}}
" Online Classes schedule EE (week 1) of Fall 2020 Semester is attached here for your kind information to be implemented from Monday 31 Aug to Friday 04 Sep, 2020. Please note your class timings as per given details.","{'Shiekh Huzaifa': {'text': 'Is there any chance for 3rd list?'}, 'Agha S. Hyder': {}}"
Selected in SE but my first preference was C's. Any suggestions should I go for it or I should wait for comsats ??,{'Hamza Baig': {'text': 'Han SE kr Lein...fast Isb se... Ye better rahy ga'}}
Fast ki software engineering ki NCEAC ki degree hai k nahi?,"{'Summair A. Shaikh': {}, 'Syed Muhammad Danish Abdi': {}}"
People who got admitted to BSCS in Islamabad ... comment below ...,"{'Hâñžłå Śïbghãt': {}, 'Muhammad Umar Waseem': {}}"
"University kay jis din document aur fees jama karwai thi roll number waghira and fee confirmation dey di unhon ney Uskay baad uni ney aik dafa bhi contact nahi kia, either via text or by email I called them 2 weeks pehlay they said classes 15 ko start honi apki aur 15 sey aik week pehlay weekend apki orientation hogi University mein hi aur apko via mail inform kar dey gay Call kay hisaab sey 1 week bad orientation hay  Can anyone confirm whats the steps for new student or if anybody has received any email","{'Hassan Khan': {'text': 'Meine call ki thi department mein usne kaha tha ke 15th se hei classes hon gi aur orientation bhi'}, 'Muhammad Umar Waseem': {}}"
,"{'Mohammad Abbad Sheikh': {}, 'حزیفہ صدیقی': {}}"
New students ki 1sep saa online classes honi hy ka nhi?,{'Hassan Ahmed Ilyas': {}}
,"{'Malik Sammar': {'text': 'Kya merit tha ee ka'}, 'Hamza Ejaz Malik': {}}"
Software engineering is a,{}
Peshawar campus me kies kies ne fees pay kar di ha for Cs? 🤔 Let's meet some classmates :),"{'Azhar Hussain': {}, 'Nauman Nasir': {'text': 'to all senior out here .. check em out #targets 😛'}}"
Kindly ye bata den k fast ki jo fee hai uss ki 2 installments hoskti hain kindly bata den agar Baat kroon uni jaa k,"{'Syed Muhammad Ali Rizvi': {'text': '3 bhi hosakti hai, talk.to manager academics'}}"
,{}
Koi bataye ke Fast fsb ch campus me hostel.nahe de rahe kya kerna agar kese ka be fsb campus me.howa hai???Can someone tell me that the hostel is in the campus in Fast Facebook. They are not giving what to do if anyone's Facebook campus. It has happened???,{'Hashir Naeem': {'text': 'ya fsd private le lo but zorana 15 km ana jna etc'}}
Which is better plzz guide  and which has more scope,"{'M Usman Ashraf': {}, 'Hamza Ali Imran': {'text': 'Engineering does not have much scope in Pak. Anyhow considering these 3 ee is the best .'}}"
,"{'Malik Sammar': {}, 'Faizan Rauf': {}}"
"Students who have secured their admission in BS CSDF at FAST Karachi Campus, kindly DM me. Thanks.",{}
"Bhai mana suna hai ka aj merit list lagna ka chance hai koi plz cnfirm bata sakta hai???Brother, I have heard that there is a chance to make a merit list today. Can someone please confirm???","{'Muhammad Aizaz Burki': {'text': 'ALLAH di oki chi merit list olagi nu'}, 'Muhammad Rukhsar Barki': {}}"
